Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0036095,Salivary Gland Neoplasms,cancer,Tumors or cancer of the SALIVARY GLANDS.,,digestive
C0033941,"Psychoses, Substance-Induced",Toxic / Substance-induced,Psychotic organic mental disorders resulting from the toxic effect of drugs and chemicals or other harmful substance.,,Nervous system
C0043459,Zellweger Syndrome,inherited metabolic disorder,An autosomal recessive disorder due to defects in PEROXISOME biogenesis which involves more than 13 genes encoding peroxin proteins of the peroxisomal membrane and matrix. Zellweger syndrome is typically seen in the neonatal period with features such as dysmorphic skull; MUSCLE HYPOTONIA; SENSORINEURAL HEARING LOSS; visual compromise; SEIZURES; progressive degeneration of the KIDNEYS and the LIVER. Zellweger-like syndrome refers to phenotypes resembling the neonatal Zellweger syndrome but seen in children or adults with apparently intact peroxisome biogenesis.,DOID:905,Nervous
C0033860,Psoriasis,integumentary system disease,"A common genetically determined, chronic, inflammatory skin disease characterized by rounded erythematous, dry, scaling patches. The lesions have a predilection for nails, scalp, genitalia, extensor surfaces, and the lumbosacral region. Accelerated epidermopoiesis is considered to be the fundamental pathologic feature in psoriasis.",DOID:8893,Integumentary system
C0027726,Nephrotic Syndrome,urinary system disease,"A condition characterized by severe PROTEINURIA, greater than 3.5 g/day in an average adult. The substantial loss of protein in the urine results in complications such as HYPOPROTEINEMIA; generalized EDEMA; HYPERTENSION; and HYPERLIPIDEMIAS. Diseases associated with nephrotic syndrome generally cause chronic kidney dysfunction.",DOID:1184,urinary system
C0338480,Common Migraine,nervous system disease,"A type of migraine headache characterized by recurrent moderate to severe headaches, often unilateral and throbbing, typically associated with nausea, vomiting, and sensitivity to light and sound, but without an aura.",,Nervous system
C0026636,Mouth Diseases,gastrointestinal system disease,"A broad category encompassing various conditions, infections, and disorders that affect the oral cavity, including the teeth, gums, tongue, lips, palate, and salivary glands.",,Digestive System
C1838979,Mitochondrial Complex I Deficiency,metabolic,"A mitochondrial metabolism disease characterized by a wide range of manifestations including marked and often fatal lactic acidosis, cardiomyopathy, leukoencephalopathy, pure myopathy and hepatopathy with tubulopathy. Among the numerous clinical phenotypes observed are Leigh syndrome, Leber hereditary optic neuropathy and MELAS syndrome. It can be caused by mutations in multiple different genes, both nuclear-encoded and mitochondrial-encoded.  [ORDO:2609, url:http\://www.omim.org/entry/252010]",DOID:0060536,Nervous
C0236969,Substance-Related Disorders,substance-related disorder,Disorders related to substance abuse.,,Nervous system
C0002878,"Anemia, Hemolytic",immune system disease,A condition of inadequate circulating red blood cells (ANEMIA) or insufficient HEMOGLOBIN due to premature destruction of red blood cells (ERYTHROCYTES).,,hematologic system
C0003873,Rheumatoid Arthritis,musculoskeletal system disease,"An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint. [url:http\://en.wikipedia.org/wiki/Rheumatoid_arthritis, url:http\://www.arthritis.org/disease-center.php?disease_id=31, url:http\://www.mayoclinic.com/health/rheumatoid-arthritis/DS00020, url:http\://www.medicinenet.com/rheumatoid_arthritis/article.htm, url:http\://www.nlm.nih.gov/medlineplus/ency/article/000431.htm, url:http\://www2.merriam-webster.com/cgi-bin/mwmednlm?book=Medical&va=rheumatoid%20arthritis]",DOID:7148,musculoskeletal system
C0003872,"Arthritis, Psoriatic",psoriatic arthritis,"A type of inflammatory arthritis associated with PSORIASIS, often involving the axial joints and the peripheral terminal interphalangeal joints. It is characterized by the presence of HLA-B27-associated SPONDYLARTHROPATHY, and the absence of rheumatoid factor.",,Musculoskeletal
C0002871,Anemia,immune system disease,A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.,DOID:2355,Circulatory system
C0206698,Cholangiocarcinoma,cancer,A malignant tumor arising from the epithelium of the BILE DUCTS.,DOID:4947,digestive system
C0206754,Neuroendocrine Tumors,cancer,"Tumors whose cells possess secretory granules and originate from the neuroectoderm, i.e., the cells of the ectoblast or epiblast that program the neuroendocrine system. Common properties across most neuroendocrine tumors include ectopic hormone production (often via APUD CELLS), the presence of tumor-associated antigens, and isozyme composition.",,endocrine
C0024530,Malaria,parasitic infectious disease,"A protozoan disease caused in humans by four species of the PLASMODIUM genus: PLASMODIUM FALCIPARUM; PLASMODIUM VIVAX; PLASMODIUM OVALE; and PLASMODIUM MALARIAE; and transmitted by the bite of an infected female mosquito of the genus ANOPHELES. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. It is characterized by extreme exhaustion associated with paroxysms of high FEVER; SWEATING; shaking CHILLS; and ANEMIA. Malaria in ANIMALS is caused by other species of plasmodia.",DOID:12365,Hematological
C0598608,Hyperhomocysteinemia,inherited metabolic disorder,"Condition in which the plasma levels of homocysteine and related metabolites are elevated (>13.9 μmol/l). Hyperhomocysteinemia can be familial or acquired. Development of the acquired hyperhomocysteinemia is mostly associated with vitamins B and/or folate deficiency (e.g., PERNICIOUS ANEMIA, vitamin malabsorption). Familial hyperhomocysteinemia often results in a more severe elevation of total homocysteine and excretion into the urine, resulting in HOMOCYSTINURIA. Hyperhomocysteinemia is a risk factor for cardiovascular and neurodegenerative diseases, osteoporotic fractures and complications during pregnancy.",DOID:9279,cardiovascular
C0019693,Hiv Infections,viral infectious disease,"Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).",,immune system
C0038013,Ankylosing Spondylitis,musculoskeletal system disease,"A bone inflammation disease that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage. [ls:IEDB, url:http\://en.wikipedia.org/wiki/Ankylosing_spondylitis, url:http\://www.mayoclinic.com/health/ankylosing-spondylitis/DS00483, url:http\://www.nlm.nih.gov/medlineplus/ency/article/000420.htm, url:http\://www.spondylitis.org/about/as.aspx]",DOID:7147,musculoskeletal system
C0010606,Adenoid Cystic Carcinoma,cancer,"A malignant tumor that arises in secretory glands, most commonly in the salivary glands of the head and neck, but can occur in various other sites.",,Digestive system
C3495559,Juvenile Arthritis,Autoimmune,"Juvenile arthritis, also known as juvenile idiopathic arthritis (JIA), is a chronic autoimmune disease characterized by persistent joint inflammation (arthritis) in children and adolescents under the age of 16.",,Musculoskeletal
C0027659,"Neoplasms, Experimental",cancer,Experimentally induced new abnormal growth of TISSUES in animals to provide models for studying human neoplasms.,,Multiple Systems
C0027658,"Neoplasms, Germ Cell And Embryonal",cancer,"Neoplasms composed of primordial GERM CELLS of embryonic GONADS or of elements of the germ layers of the EMBRYO, MAMMALIAN. The concept does not refer to neoplasms located in the gonads or present in an embryo or FETUS.",,Reproductive system
C0002171,Alopecia Areata,immune system disease,Loss of scalp and body hair involving microscopically inflammatory patchy areas.,DOID:986,Integumentary system
C0002170,Alopecia,integumentary system disease,Absence of hair from areas where it is normally present.,DOID:987,Integumentary system
C0428977,Bradycardia,Cardiovascular disorder,"Cardiac arrhythmias that are characterized by excessively slow HEART RATE, usually below 50 beats per minute in human adults. They can be classified broadly into SINOATRIAL NODE dysfunction and ATRIOVENTRICULAR BLOCK.",,Cardiovascular
C0009447,Common Variable Immunodeficiency,immune system disease,"Heterogeneous group of immunodeficiency syndromes characterized by hypogammaglobulinemia of most isotypes, variable B-cell defects, and the presence of recurrent bacterial infections.",DOID:12177,immune system
C0017658,Glomerulonephritis,urinary system disease,"Inflammation of the renal glomeruli (KIDNEY GLOMERULUS) that can be classified by the type of glomerular injuries including antibody deposition, complement activation, cellular proliferation, and glomerulosclerosis. These structural and functional abnormalities usually lead to HEMATURIA; PROTEINURIA; HYPERTENSION; and RENAL INSUFFICIENCY.",DOID:2921,urinary system
C0001973,"Alcoholic Intoxication, Chronic",Substance-related disorder,"Chronic alcoholic intoxication refers to the long-term physiological and psychological effects resulting from prolonged excessive consumption of alcohol, leading to dependence, organ damage (especially liver and brain), and various health complications.",,Nervous system
C0273115,Lung Injury,Injury,"Damage to any compartment of the lung caused by physical, chemical, or biological agents which characteristically elicit inflammatory reaction. These inflammatory reactions can either be acute and dominated by NEUTROPHILS, or chronic and dominated by LYMPHOCYTES and MACROPHAGES.",,Respiratory
C1136249,"Mental Retardation, X-Linked",genetic,A class of genetic disorders resulting in INTELLECTUAL DISABILITY that is associated either with mutations of GENES located on the X CHROMOSOME or aberrations in the structure of the X chromosome (SEX CHROMOSOME ABERRATIONS).,,nervous
C0038454,Cerebrovascular Accident,cardiovascular system disease,A medical condition where poor blood flow to the brain results in cell death. It can be caused by blockage (ischemic stroke) or rupture (hemostatic stroke) of blood vessels supplying the brain.,,Nervous system
C0019284,Diaphragmatic Hernia,musculoskeletal system disease,A condition in which abdominal organs protrude through an opening in the diaphragm into the chest cavity.,,Respiratory system
C0282612,Prostatic Intraepithelial Neoplasias,Cancer,Prostatic intraepithelial neoplasia (PIN) is a precancerous condition in which the cells lining the prostate gland ducts and acini appear abnormal but have not invaded surrounding tissue. It is considered a precursor to prostate cancer.,,Reproductive system
C0751617,Semilobar Holoprosencephaly,Congenital malformation,"Semilobar holoprosencephaly is an intermediate form of holoprosencephaly, a congenital brain malformation characterized by incomplete separation of the forebrain (prosencephalon) into two hemispheres. In the semilobar type, the posterior portion of the cerebral hemispheres is separated, but the frontal and parietal lobes remain fused, and the lateral ventricles are partially fused.",,Nervous system
C0035258,Restless Legs Syndrome,nervous system disease,A disorder characterized by aching or burning sensations in the lower and rarely the upper extremities that occur prior to sleep or may awaken the patient from sleep.,DOID:0050425,nervous system
C1142166,Brugada Syndrome (Disorder),cardiovascular system disease,Brugada syndrome is a genetic disorder characterized by abnormal electrocardiogram (ECG) findings and an increased risk of sudden cardiac death due to ventricular arrhythmias.,,Cardiovascular
C0013990,Pathological Accumulation Of Air In Tissues,Pathological condition,"Pathological presence of air within tissues or body cavities where it is not normally found, often indicative of an underlying injury or disease process.",,Multiple systems
C0018671,Head And Neck Neoplasms,cancer,"Soft tissue tumors or cancer arising from the mucosal surfaces of the LIP; oral cavity; PHARYNX; LARYNX; and cervical esophagus. Other sites included are the NOSE and PARANASAL SINUSES; SALIVARY GLANDS; THYROID GLAND and PARATHYROID GLANDS; and MELANOMA and non-melanoma skin cancers of the head and neck. (from Holland et al., Cancer Medicine, 4th ed, p1651)",,Digestive
C0006118,Brain Neoplasms,cancer,"Neoplasms of the intracranial components of the central nervous system, including the cerebral hemispheres, basal ganglia, hypothalamus, thalamus, brain stem, and cerebellum. Brain neoplasms are subdivided into primary (originating from brain tissue) and secondary (i.e., metastatic) forms. Primary neoplasms are subdivided into benign and malignant forms. In general, brain tumors may also be classified by age of onset, histologic type, or presenting location in the brain.",,nervous
C0018772,"Hearing Loss, Partial",Sensory disorder,"Partial hearing loss is a condition characterized by a reduced ability to hear sounds, where the individual can still perceive some sounds, as opposed to complete deafness. It can vary in severity and affect specific frequencies or volumes.",,Sensory system
C0008625,Chromosome Aberrations,genetic,Abnormal number or structure of chromosomes. Chromosome aberrations may result in CHROMOSOME DISORDERS.,,nervous
C0023434,Chronic Lymphocytic Leukemia,cancer,"A lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood. [url:http\://en.wikipedia.org/wiki/B-cell_chronic_lymphocytic_leukemia, url:http\://www.cancer.gov/dictionary?cdrid=346545]",DOID:1040,Hematopoietic system
C0034951,Refractive Errors,nervous system disease,Deviations from the average or standard indices of refraction of the eye through its dioptric or refractive apparatus.,,nervous system
C0019196,Hepatitis C,viral infectious disease,"INFLAMMATION of the LIVER in humans caused by HEPATITIS C VIRUS, a single-stranded RNA virus. Its incubation period is 30-90 days. Hepatitis C is transmitted primarily by contaminated blood parenterally, and is often associated with transfusion and intravenous drug abuse. However, in a significant number of cases, the source of hepatitis C infection is unknown.",DOID:1883,digestive system
C0025500,Mesothelioma,benign neoplasm,"A tumor derived from mesothelial tissue (peritoneum, pleura, pericardium). It appears as broad sheets of cells, with some regions containing spindle-shaped, sarcoma-like cells and other regions showing adenomatous patterns. Pleural mesotheliomas have been linked to exposure to asbestos. (Dorland, 27th ed)",,Respiratory
C0242379,Malignant Neoplasm Of Lung,Cancer,Cancer that originates in the tissues of the lung.,,Respiratory system
C3875321,Inflammatory Dermatosis,Inflammatory,A general term for skin conditions characterized by inflammation.,,Integumentary
C0162809,Kallmann Syndrome,endocrine system disease,"A genetically heterogeneous disorder caused by hypothalamic GNRH deficiency and OLFACTORY NERVE defects. It is characterized by congenital HYPOGONADOTROPIC HYPOGONADISM and ANOSMIA, possibly with additional midline defects. It can be transmitted as an X-linked (GENETIC DISEASES, X-LINKED), an autosomal dominant, or an autosomal recessive trait.",DOID:3614,endocrine
C0023794,Lipoidosis,inherited metabolic disorder,A group of inherited metabolic disorders characterized by the abnormal accumulation of lipids in various tissues and organs due to defects in lipid metabolism.,,Nervous system
