,Disease ID,Disease Name,Disease Class,Definitions,Main Symptom,Risk Factors,Disease Class GPT,Main System Affected
0,C0043459,Zellweger Syndrome,inherited metabolic disorder,An autosomal recessive disorder due to defects in PEROXISOME biogenesis which involves more than 13 genes encoding peroxin proteins of the peroxisomal membrane and matrix. Zellweger syndrome is typically seen in the neonatal period with features such as dysmorphic skull; MUSCLE HYPOTONIA; SENSORINEURAL HEARING LOSS; visual compromise; SEIZURES; progressive degeneration of the KIDNEYS and the LIVER. Zellweger-like syndrome refers to phenotypes resembling the neonatal Zellweger syndrome but seen in children or adults with apparently intact peroxisome biogenesis.,"dysmorphic skull, muscle hypotonia, sensorineural hearing loss, visual compromise, seizures",autosomal recessive inheritance,autosomal recessive disorder,"peroxisome biogenesis, kidneys, liver"
1,C0033860,Psoriasis,integumentary system disease,"A common genetically determined, chronic, inflammatory skin disease characterized by rounded erythematous, dry, scaling patches. The lesions have a predilection for nails, scalp, genitalia, extensor surfaces, and the lumbosacral region. Accelerated epidermopoiesis is considered to be the fundamental pathologic feature in psoriasis.","rounded erythematous, dry, scaling patches",genetic factors,"chronic, inflammatory skin disease",skin
2,C0027726,Nephrotic Syndrome,urinary system disease,"A condition characterized by severe PROTEINURIA, greater than 3.5 g/day in an average adult. The substantial loss of protein in the urine results in complications such as HYPOPROTEINEMIA; generalized EDEMA; HYPERTENSION; and HYPERLIPIDEMIAS. Diseases associated with nephrotic syndrome generally cause chronic kidney dysfunction.",Severe proteinuria,Chronic kidney dysfunction,Nephrotic syndrome,Renal system
3,C0236969,Substance-Related Disorders,substance-related disorder,Disorders related to substance abuse.,Substance abuse,"Genetic predisposition, family history of substance abuse, trauma, mental health disorders",Mental health disorders,Central nervous system
4,C0002878,"Anemia, Hemolytic",immune system disease,A condition of inadequate circulating red blood cells (ANEMIA) or insufficient HEMOGLOBIN due to premature destruction of red blood cells (ERYTHROCYTES).,inadequate circulating red blood cells or insufficient hemoglobin,premature destruction of red blood cells,Anemia,Blood
5,C0003872,"Arthritis, Psoriatic",psoriatic arthritis,"A type of inflammatory arthritis associated with PSORIASIS, often involving the axial joints and the peripheral terminal interphalangeal joints. It is characterized by the presence of HLA-B27-associated SPONDYLARTHROPATHY, and the absence of rheumatoid factor.",inflammatory arthritis,"psoriasis, HLA-B27-associated spondylarthropathy",autoimmune,"axial joints, peripheral terminal interphalangeal joints"
6,C0002871,Anemia,immune system disease,A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.,reduction in the number of circulating erythrocytes or in the quantity of hemoglobin,"nutritional deficiencies, chronic diseases, genetic disorders, blood loss, pregnancy",blood disorder,circulatory system
7,C0206698,Cholangiocarcinoma,cancer,A malignant tumor arising from the epithelium of the BILE DUCTS.,Jaundice,"Primary sclerosing cholangitis, liver fluke infestation",Malignant tumor,Bile ducts
8,C0206754,Neuroendocrine Tumors,cancer,"Tumors whose cells possess secretory granules and originate from the neuroectoderm, i.e., the cells of the ectoblast or epiblast that program the neuroendocrine system. Common properties across most neuroendocrine tumors include ectopic hormone production (often via APUD CELLS), the presence of tumor-associated antigens, and isozyme composition.",Ectopic hormone production,Unknown,Neuroendocrine tumors,Neuroendocrine system
9,C0024530,Malaria,parasitic infectious disease,"A protozoan disease caused in humans by four species of the PLASMODIUM genus: PLASMODIUM FALCIPARUM; PLASMODIUM VIVAX; PLASMODIUM OVALE; and PLASMODIUM MALARIAE; and transmitted by the bite of an infected female mosquito of the genus ANOPHELES. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. It is characterized by extreme exhaustion associated with paroxysms of high FEVER; SWEATING; shaking CHILLS; and ANEMIA. Malaria in ANIMALS is caused by other species of plasmodia.","extreme exhaustion, high fever, sweating, shaking chills, anemia",mosquito bites,protozoan disease,immune system
10,C0598608,Hyperhomocysteinemia,inherited metabolic disorder,"Condition in which the plasma levels of homocysteine and related metabolites are elevated (>13.9 μmol/l). Hyperhomocysteinemia can be familial or acquired. Development of the acquired hyperhomocysteinemia is mostly associated with vitamins B and/or folate deficiency (e.g., PERNICIOUS ANEMIA, vitamin malabsorption). Familial hyperhomocysteinemia often results in a more severe elevation of total homocysteine and excretion into the urine, resulting in HOMOCYSTINURIA. Hyperhomocysteinemia is a risk factor for cardiovascular and neurodegenerative diseases, osteoporotic fractures and complications during pregnancy.",elevated plasma levels of homocysteine and related metabolites,"vitamins B and/or folate deficiency, familial history",metabolic disorder,cardiovascular and neurological systems
11,C0019693,Hiv Infections,viral infectious disease,"Includes the spectrum of human immunodeficiency virus infections that range from asymptomatic seropositivity, thru AIDS-related complex (ARC), to acquired immunodeficiency syndrome (AIDS).","Asymptomatic seropositivity, ARC, AIDS","Unprotected sexual activity, sharing needles, mother-to-child transmission",Infectious disease,Immune system
12,C0027658,"Neoplasms, Germ Cell And Embryonal",cancer,"Neoplasms composed of primordial GERM CELLS of embryonic GONADS or of elements of the germ layers of the EMBRYO, MAMMALIAN. The concept does not refer to neoplasms located in the gonads or present in an embryo or FETUS.",Neoplasms composed of primordial germ cells,Unknown,Cancer,Reproductive system
13,C0002171,Alopecia Areata,immune system disease,Loss of scalp and body hair involving microscopically inflammatory patchy areas.,Loss of scalp and body hair involving patchy areas,"Genetic predisposition, autoimmune disorders",Autoimmune disorder,Integumentary system
14,C0002170,Alopecia,integumentary system disease,Absence of hair from areas where it is normally present.,Absence of hair,Unknown,Dermatological condition,Integumentary system
15,C0009447,Common Variable Immunodeficiency,immune system disease,"Heterogeneous group of immunodeficiency syndromes characterized by hypogammaglobulinemia of most isotypes, variable B-cell defects, and the presence of recurrent bacterial infections.","hypogammaglobulinemia, recurrent bacterial infections",variable B-cell defects,immunodeficiency syndromes,immune system
16,C0017658,Glomerulonephritis,urinary system disease,"Inflammation of the renal glomeruli (KIDNEY GLOMERULUS) that can be classified by the type of glomerular injuries including antibody deposition, complement activation, cellular proliferation, and glomerulosclerosis. These structural and functional abnormalities usually lead to HEMATURIA; PROTEINURIA; HYPERTENSION; and RENAL INSUFFICIENCY.","Hematuria, proteinuria, hypertension, renal insufficiency","Antibody deposition, complement activation, cellular proliferation, glomerulosclerosis",Inflammation of renal glomeruli,Kidney
17,C0035258,Restless Legs Syndrome,nervous system disease,A disorder characterized by aching or burning sensations in the lower and rarely the upper extremities that occur prior to sleep or may awaken the patient from sleep.,aching or burning sensations in the lower and rarely the upper extremities,unknown,neurological disorder,nervous system
18,C0018671,Head And Neck Neoplasms,cancer,"Soft tissue tumors or cancer arising from the mucosal surfaces of the LIP; oral cavity; PHARYNX; LARYNX; and cervical esophagus. Other sites included are the NOSE and PARANASAL SINUSES; SALIVARY GLANDS; THYROID GLAND and PARATHYROID GLANDS; and MELANOMA and non-melanoma skin cancers of the head and neck. (from Holland et al., Cancer Medicine, 4th ed, p1651)","Soft tissue tumors or cancer arising from the mucosal surfaces of the lip, oral cavity, pharynx, larynx, and cervical esophagus",Not specified,Neoplasms or cancer,Head and neck region
19,C0006118,Brain Neoplasms,cancer,"Neoplasms of the intracranial components of the central nervous system, including the cerebral hemispheres, basal ganglia, hypothalamus, thalamus, brain stem, and cerebellum. Brain neoplasms are subdivided into primary (originating from brain tissue) and secondary (i.e., metastatic) forms. Primary neoplasms are subdivided into benign and malignant forms. In general, brain tumors may also be classified by age of onset, histologic type, or presenting location in the brain.","varies depending on location, can include headaches, seizures, changes in vision or speech","family history of brain tumors, exposure to ionizing radiation, certain genetic conditions",neoplasms,central nervous system
20,C0034951,Refractive Errors,nervous system disease,Deviations from the average or standard indices of refraction of the eye through its dioptric or refractive apparatus.,Blurred vision,"Family history, age, prolonged near work, excessive screen time",Eye disorders,Visual system
21,C0019196,Hepatitis C,viral infectious disease,"INFLAMMATION of the LIVER in humans caused by HEPATITIS C VIRUS, a single-stranded RNA virus. Its incubation period is 30-90 days. Hepatitis C is transmitted primarily by contaminated blood parenterally, and is often associated with transfusion and intravenous drug abuse. However, in a significant number of cases, the source of hepatitis C infection is unknown.",Inflammation of the liver,"Contaminated blood, transfusion, intravenous drug abuse",Viral infection,Liver
22,C0025500,Mesothelioma,benign neoplasm,"A tumor derived from mesothelial tissue (peritoneum, pleura, pericardium). It appears as broad sheets of cells, with some regions containing spindle-shaped, sarcoma-like cells and other regions showing adenomatous patterns. Pleural mesotheliomas have been linked to exposure to asbestos. (Dorland, 27th ed)",tumor derived from mesothelial tissue,exposure to asbestos,mesothelioma,"peritoneum, pleura, pericardium"
23,C0162809,Kallmann Syndrome,endocrine system disease,"A genetically heterogeneous disorder caused by hypothalamic GNRH deficiency and OLFACTORY NERVE defects. It is characterized by congenital HYPOGONADOTROPIC HYPOGONADISM and ANOSMIA, possibly with additional midline defects. It can be transmitted as an X-linked (GENETIC DISEASES, X-LINKED), an autosomal dominant, or an autosomal recessive trait.",Congenital hypogonadotropic hypogonadism and anosmia,"Genetic inheritance (X-linked, autosomal dominant, or autosomal recessive)",Genetic disorder,Hypothalamic-pituitary-gonadal axis and olfactory system
24,C0011849,Diabetes Mellitus,acquired metabolic disease,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.,Hyperglycemia,Glucose intolerance,Heterogeneous group of disorders,Endocrine system
25,C0025958,Microcephaly,congenital nervous system abnormality,"A congenital abnormality in which the CEREBRUM is underdeveloped, the fontanels close prematurely, and, as a result, the head is small. (Desk Reference for Neuroscience, 2nd ed.)",Small head size,"Genetic abnormalities, maternal infections during pregnancy",Congenital abnormality,Cerebrum
26,C0027720,Nephrosis,urinary system disease,Pathological processes of the KIDNEY without inflammatory or neoplastic components. Nephrosis may be a primary disorder or secondary complication of other diseases. It is characterized by the NEPHROTIC SYNDROME indicating the presence of PROTEINURIA and HYPOALBUMINEMIA with accompanying EDEMA.,"Nephrotic syndrome (proteinuria, hypoalbuminemia, edema)",Primary disorder or secondary complication of other diseases,Pathological processes of the kidney,Kidney
27,C0007273,Carotid Artery Diseases,cardiovascular system disease,"Pathological conditions involving the CAROTID ARTERIES, including the common, internal, and external carotid arteries. ATHEROSCLEROSIS and TRAUMA are relatively frequent causes of carotid artery pathology.",Carotid artery pathology,"Atherosclerosis, trauma",Pathological conditions,Carotid arteries
28,C0014556,"Epilepsy, Temporal Lobe",nervous system disease,"A localization-related (focal) form of epilepsy characterized by recurrent seizures that arise from foci within the temporal lobe, most commonly from its mesial aspect. A wide variety of psychic phenomena may be associated, including illusions, hallucinations, dyscognitive states, and affective experiences. The majority of complex partial seizures (see EPILEPSY, COMPLEX PARTIAL) originate from the temporal lobes. Temporal lobe seizures may be classified by etiology as cryptogenic, familial, or symptomatic (i.e., related to an identified disease process or lesion). (From Adams et al., Principles of Neurology, 6th ed, p321)",Recurrent seizures,"Unknown cause (cryptogenic), family history (familial), or related to a disease or lesion (symptomatic)",Localization-related (focal) epilepsy,Temporal lobe
29,C0018099,Gout,musculoskeletal system disease,"Hereditary metabolic disorder characterized by recurrent acute arthritis, hyperuricemia and deposition of sodium urate in and around the joints, sometimes with formation of uric acid calculi.",Recurrent acute arthritis,Hereditary metabolic disorder,Metabolic disorder,Joints
