# Disease ID,Disease Name,Gene ID
C0043459,Zellweger Syndrome,3295
C0043459,Zellweger Syndrome,5189
C0043459,Zellweger Syndrome,5190
C0043459,Zellweger Syndrome,5192
C0043459,Zellweger Syndrome,5193
C0043459,Zellweger Syndrome,5194
C0043459,Zellweger Syndrome,5195
C0043459,Zellweger Syndrome,55670
C0043459,Zellweger Syndrome,5824
C0043459,Zellweger Syndrome,5825
C0043459,Zellweger Syndrome,5828
C0043459,Zellweger Syndrome,5830
C0043459,Zellweger Syndrome,8504
C0043459,Zellweger Syndrome,8799
C0043459,Zellweger Syndrome,9409
C0033860,Psoriasis,10318
C0033860,Psoriasis,10498
C0033860,Psoriasis,10758
C0033860,Psoriasis,10866
C0033860,Psoriasis,117289
C0033860,Psoriasis,125893
C0033860,Psoriasis,1356
C0033860,Psoriasis,1401
C0033860,Psoriasis,1437
C0033860,Psoriasis,149233
C0033860,Psoriasis,163702
C0033860,Psoriasis,23586
C0033860,Psoriasis,2524
C0033860,Psoriasis,2706
C0033860,Psoriasis,29785
C0033860,Psoriasis,3107
C0033860,Psoriasis,338442
C0033860,Psoriasis,348
C0033860,Psoriasis,353143
C0033860,Psoriasis,353144
C0033860,Psoriasis,3553
C0033860,Psoriasis,3565
C0033860,Psoriasis,3569
C0033860,Psoriasis,3593
C0033860,Psoriasis,3596
C0033860,Psoriasis,400957
C0033860,Psoriasis,4288
C0033860,Psoriasis,4792
C0033860,Psoriasis,4843
C0033860,Psoriasis,5111
C0033860,Psoriasis,51561
C0033860,Psoriasis,51752
C0033860,Psoriasis,5271
C0033860,Psoriasis,54620
C0033860,Psoriasis,5468
C0033860,Psoriasis,55350
C0033860,Psoriasis,55770
C0033860,Psoriasis,55905
C0033860,Psoriasis,57178
C0033860,Psoriasis,5966
C0033860,Psoriasis,5972
C0033860,Psoriasis,5980
C0033860,Psoriasis,6278
C0033860,Psoriasis,64135
C0033860,Psoriasis,643749
C0033860,Psoriasis,64478
C0033860,Psoriasis,6648
C0033860,Psoriasis,6773
C0033860,Psoriasis,6774
C0033860,Psoriasis,7039
C0033860,Psoriasis,7124
C0033860,Psoriasis,7128
C0033860,Psoriasis,7157
C0033860,Psoriasis,7297
C0033860,Psoriasis,7422
C0033860,Psoriasis,79092
C0033860,Psoriasis,81890
C0033860,Psoriasis,831
C0033860,Psoriasis,84648
C0033860,Psoriasis,847
C0033860,Psoriasis,85463
C0033860,Psoriasis,864
C0033860,Psoriasis,8651
C0033860,Psoriasis,8875
C0033860,Psoriasis,8876
C0033860,Psoriasis,90134
C0033860,Psoriasis,9232
C0033860,Psoriasis,9692
C0033860,Psoriasis,9825
C0033860,Psoriasis,9844
