Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id
1462,HGNC:2464,versican,protein-coding gene,gene with protein product,5q14.2-q14.3,Hyalectan proteoglycans|V-set domain containing|Sushi domain containing,574|590|1179
1612,HGNC:2674,death associated protein kinase 1,protein-coding gene,gene with protein product,9q34.1,Ankyrin repeat domain containing|Death-associated protein kinases,403|1021
182,HGNC:6188,jagged 1,protein-coding gene,gene with protein product,20p12.1-p11.23,CD molecules,471
2011,HGNC:3332,microtubule affinity regulating kinase 2,protein-coding gene,gene with protein product,11q13.1,,
2019,HGNC:3342,engrailed homeobox 1,protein-coding gene,gene with protein product,2q14.2,NKL subclass homeoboxes and pseudogenes,519
2175,HGNC:3582,Fanconi anemia complementation group A,protein-coding gene,gene with protein product,16q24.3,Fanconi anemia complementation groups,548
2195,HGNC:3595,FAT atypical cadherin 1,protein-coding gene,gene with protein product,4q35.2,Cadherin-related,24
23209,HGNC:17082,megalencephalic leukoencephalopathy with subcortical cysts 1,protein-coding gene,gene with protein product,22q13.33,,
23543,HGNC:9906,"RNA binding protein, fox-1 homolog 2",protein-coding gene,gene with protein product,22q12-q13,RNA binding motif containing,725
23619,HGNC:12875,zinc finger imprinted 2,protein-coding gene,gene with protein product,19q13.4,Zinc fingers C2H2-type,28
259266,HGNC:19048,abnormal spindle microtubule assembly,protein-coding gene,gene with protein product,1q31,,
2620,HGNC:4167,growth arrest specific 2,protein-coding gene,gene with protein product,11p14.3,,
2621,HGNC:4168,growth arrest specific 6,protein-coding gene,gene with protein product,13q34,,
27344,HGNC:17301,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding gene,gene with protein product,Xp11.23,Granins,925
2982,HGNC:4685,"guanylate cyclase 1, soluble, alpha 3",protein-coding gene,gene with protein product,4q32.1,"Guanylate cyclases, soluble",820
3485,HGNC:5471,insulin like growth factor binding protein 2,protein-coding gene,gene with protein product,2q35,Insulin-like growth factor binding proteins,1065
358,HGNC:633,aquaporin 1 (Colton blood group),protein-coding gene,gene with protein product,7p14,Aquaporins|Blood group antigens,305|454
3691,HGNC:6158,integrin subunit beta 4,protein-coding gene,gene with protein product,17q25.1,"CD molecules|Fibronectin type III domain containing|Integrin subunits, beta ",471|555|1159
3852,HGNC:6442,keratin 5,protein-coding gene,gene with protein product,12q13.13,"Keratins, type II",609
3866,HGNC:6421,keratin 15,protein-coding gene,gene with protein product,17q21.2,"Keratins, type I",608
4082,HGNC:6759,myristoylated alanine rich protein kinase C substrate,protein-coding gene,gene with protein product,6q21,,
50805,HGNC:6129,iroquois homeobox 4,protein-coding gene,gene with protein product,5p15.33,TALE class homeoboxes and pseudogenes,526
51477,HGNC:29821,inositol-3-phosphate synthase 1,protein-coding gene,gene with protein product,19p13.11,,
51514,HGNC:30288,denticleless E3 ubiquitin protein ligase homolog,protein-coding gene,gene with protein product,1q32,WD repeat domain containing|DDB1 and CUL4 associated factors,362|498
51659,HGNC:24575,GINS complex subunit 2,protein-coding gene,gene with protein product,16q24.1,GINS complex,931
5174,HGNC:8821,PDZ domain containing 1,protein-coding gene,gene with protein product,1q21,PDZ domain containing,1220
5176,HGNC:8824,serpin family F member 1,protein-coding gene,gene with protein product,17p13.3,Serpin peptidase inhibitors,739
53335,HGNC:13221,B-cell CLL/lymphoma 11A,protein-coding gene,gene with protein product,2p16.1,Zinc fingers C2H2-type,28
54441,HGNC:33852,stromal antigen 3-like 1 (pseudogene),pseudogene,pseudogene,7q11.23,,
54531,HGNC:29210,MIER family member 2,protein-coding gene,gene with protein product,19p13.3,Myb/SANT domain containing,532
5587,HGNC:9407,protein kinase D1,protein-coding gene,gene with protein product,14q11,Pleckstrin homology domain containing,682
57419,HGNC:10977,solute carrier family 24 member 3,protein-coding gene,gene with protein product,20p13,Solute carriers,752
5834,HGNC:9723,"phosphorylase, glycogen; brain",protein-coding gene,gene with protein product,20p11.21,"Phosphorylases, glycogen",437
595,HGNC:1582,cyclin D1,protein-coding gene,gene with protein product,11q13,Cyclins,473
6484,HGNC:10864,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",protein-coding gene,gene with protein product,11q23-q24,Sialyltransferases,438
6651,HGNC:11183,SON DNA binding protein,protein-coding gene,gene with protein product,21q22.1-q22.2,G-patch domain containing|Minor histocompatibility antigens,579|870
6659,HGNC:11200,SRY-box 4,protein-coding gene,gene with protein product,6p22.3,SRY (sex determining region Y)-boxes,757
6664,HGNC:11191,SRY-box 11,protein-coding gene,gene with protein product,2p25,SRY (sex determining region Y)-boxes,757
7153,HGNC:11989,topoisomerase (DNA) II alpha,protein-coding gene,gene with protein product,17q21.2,Topoisomerases,1050
80303,HGNC:29556,EF-hand domain family member D1,protein-coding gene,gene with protein product,2q37.1,EF-hand domain containing,863
81029,HGNC:16265,Wnt family member 5B,protein-coding gene,gene with protein product,12p13.3,Wnt family,360
81831,HGNC:14644,neuropilin and tolloid like 2,protein-coding gene,gene with protein product,16q11.2,,
9454,HGNC:17514,homer scaffolding protein 3,protein-coding gene,gene with protein product,19p13.1,Homer scaffolding proteins,871
9700,HGNC:16856,"extra spindle pole bodies like 1, separase",protein-coding gene,gene with protein product,12q13.13,,
