entrez_id,name,locus_group,locus_type,location,gene_family,gene_family_id,id,Start Chromossome,Start Chromossome Arm,Start Chromossome Loc,Start Chromossome SubLoc,End Chromossome Arm,End Chromossome Loc,End Chromossome SubLoc
14.0,angio associated migratory cell protein,protein-coding gene,gene with protein product,2q,WD repeat domain containing,362,18,2,q,,,,,
15.0,aralkylamine N-acetyltransferase,protein-coding gene,gene with protein product,17q25.1,GCN5 related N-acetyltransferases,1134,19,17,q,25,1,,,
9625.0,apoptosis-associated tyrosine kinase,protein-coding gene,gene with protein product,17q25.3,Receptor Tyrosine Kinases|Protein phosphatase 1 regulatory subunits,321|694,21,17,q,25,3,,,
18.0,4-aminobutyrate aminotransferase,protein-coding gene,gene with protein product,16p13.2,,,23,16,p,13,2,,,
19.0,ATP binding cassette subfamily A member 1,protein-coding gene,gene with protein product,9q31,ATP binding cassette subfamily A,805,29,9,q,31,,,,
20.0,ATP binding cassette subfamily A member 2,protein-coding gene,gene with protein product,9q34,ATP binding cassette subfamily A,805,32,9,q,34,,,,
24.0,ATP binding cassette subfamily A member 4,protein-coding gene,gene with protein product,1p22,ATP binding cassette subfamily A,805,34,1,p,22,,,,
23460.0,ATP binding cassette subfamily A member 6,protein-coding gene,gene with protein product,17q21,ATP binding cassette subfamily A,805,36,17,q,21,,,,
10347.0,ATP binding cassette subfamily A member 7,protein-coding gene,gene with protein product,19p13.3,ATP binding cassette subfamily A,805,37,19,p,13,3,,,
10351.0,ATP binding cassette subfamily A member 8,protein-coding gene,gene with protein product,17q24,ATP binding cassette subfamily A,805,38,17,q,24,,,,
79963.0,"ATP binding cassette subfamily A member 11, pseudogene",pseudogene,pseudogene,4p16.3,ATP binding cassette subfamily A,805,31,4,p,16,3,,,
5243.0,ATP binding cassette subfamily B member 1,protein-coding gene,gene with protein product,7q21.12,CD molecules|ATP binding cassette subfamily B,471|806,40,7,q,21,12,,,
10058.0,ATP binding cassette subfamily B member 6 (Langereis blood group),protein-coding gene,gene with protein product,2q36,Blood group antigens|ATP binding cassette subfamily B,454|806,47,2,q,36,,,,
22.0,ATP binding cassette subfamily B member 7,protein-coding gene,gene with protein product,Xq13.3,ATP binding cassette subfamily B,806,48,13,,13,3,,,
23457.0,ATP binding cassette subfamily B member 9,protein-coding gene,gene with protein product,12q24,ATP binding cassette subfamily B,806,50,12,q,24,,,,
23456.0,ATP binding cassette subfamily B member 10,protein-coding gene,gene with protein product,1q32,ATP binding cassette subfamily B,806,41,1,q,32,,,,
4363.0,ATP binding cassette subfamily C member 1,protein-coding gene,gene with protein product,16p13.1,ATP binding cassette subfamily C,807,51,16,p,13,1,,,
8714.0,ATP binding cassette subfamily C member 3,protein-coding gene,gene with protein product,17q21,ATP binding cassette subfamily C,807,54,17,q,21,,,,
10257.0,ATP binding cassette subfamily C member 4,protein-coding gene,gene with protein product,13q31,ATP binding cassette subfamily C,807,55,13,q,31,,,,
6833.0,ATP binding cassette subfamily C member 8,protein-coding gene,gene with protein product,11p15.1,ATP binding cassette subfamily C,807,59,11,p,15,1,,,
10060.0,ATP binding cassette subfamily C member 9,protein-coding gene,gene with protein product,12p12.1,ATP binding cassette subfamily C,807,60,12,p,12,1,,,
23.0,ATP binding cassette subfamily F member 1,protein-coding gene,gene with protein product,6p21.33,ATP binding cassette subfamily F,810,70,6,p,21,33,,,
10061.0,ATP binding cassette subfamily F member 2,protein-coding gene,gene with protein product,7q36.1,ATP binding cassette subfamily F,810,71,7,q,36,1,,,
55324.0,ATP binding cassette subfamily F member 3,protein-coding gene,gene with protein product,3q27.1,ATP binding cassette subfamily F,810,72,3,q,27,1,,,
10006.0,abl interactor 1,protein-coding gene,gene with protein product,10p12.1,,,11320,10,p,12,1,,,
29.0,active BCR-related,protein-coding gene,gene with protein product,17p13,Pleckstrin homology domain containing|Rho guanine nucleotide exchange factors|C2 domain containing,682|722|823,81,17,p,13,,,,
33.0,"acyl-CoA dehydrogenase, long chain",protein-coding gene,gene with protein product,2q34,Acyl-CoA dehydrogenase family,974,88,2,q,34,,,,
35.0,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",protein-coding gene,gene with protein product,12q24.31,Acyl-CoA dehydrogenase family,974,90,12,q,24,31,,,
36.0,"acyl-CoA dehydrogenase, short/branched chain",protein-coding gene,gene with protein product,10q26.13,Acyl-CoA dehydrogenase family,974,91,10,q,26,13,,,
37.0,"acyl-CoA dehydrogenase, very long chain",protein-coding gene,gene with protein product,17p13.1,Acyl-CoA dehydrogenase family,974,92,17,p,13,1,,,
84320.0,acyl-CoA binding domain containing 6,protein-coding gene,gene with protein product,1q25.3,Ankyrin repeat domain containing,403,23339,1,q,25,3,,,
1636.0,angiotensin I converting enzyme,protein-coding gene,gene with protein product,17q23.3,CD molecules,471,2707,17,q,23,3,,,
43.0,acetylcholinesterase (Cartwright blood group),protein-coding gene,gene with protein product,7q22,Blood group antigens,454,108,7,q,22,,,,
2532.0,atypical chemokine receptor 1 (Duffy blood group),protein-coding gene,gene with protein product,1q21-q22,Blood group antigens|CD molecules|Atypical chemokine receptors,454|471|1090,4035,1,q,21,,q,,
1238.0,atypical chemokine receptor 2,protein-coding gene,gene with protein product,3p21.3,Atypical chemokine receptors,1090,1565,3,p,21,3,,,
51554.0,atypical chemokine receptor 4,protein-coding gene,gene with protein product,3q22,Atypical chemokine receptors,1090,1611,3,q,22,,,,
47.0,ATP citrate lyase,protein-coding gene,gene with protein product,17q21.2,,,115,17,q,21,2,,,
48.0,aconitase 1,protein-coding gene,gene with protein product,9p21.1,,,117,9,p,21,1,,,
50.0,aconitase 2,protein-coding gene,gene with protein product,22q13.2,,,118,22,q,13,2,,,
8309.0,"acyl-CoA oxidase 2, branched chain",protein-coding gene,gene with protein product,3p14.3,,,120,3,p,14,3,,,
53.0,"acid phosphatase 2, lysosomal",protein-coding gene,gene with protein product,11p11.2,Acid phosphatases,1071,123,11,p,11,2,,,
55.0,"acid phosphatase, prostate",protein-coding gene,gene with protein product,3q22.1,Acid phosphatases,1071,125,3,q,22,1,,,
49.0,acrosin,protein-coding gene,gene with protein product,22q13.33,,,126,22,q,13,33,,,
56.0,acrosomal vesicle protein 1,protein-coding gene,gene with protein product,11q24.2,,,127,11,q,24,2,,,
2180.0,acyl-CoA synthetase long-chain family member 1,protein-coding gene,gene with protein product,4q35.1,Acyl-CoA synthetase family,40,3569,4,q,35,1,,,
2181.0,acyl-CoA synthetase long-chain family member 3,protein-coding gene,gene with protein product,2q34-q35,Acyl-CoA synthetase family,40,3570,2,q,34,,q,,
6296.0,acyl-CoA synthetase medium-chain family member 3,protein-coding gene,gene with protein product,16p13.11,Acyl-CoA synthetase family,40,10522,16,p,13,11,,,
60.0,"actin, beta",protein-coding gene,gene with protein product,7p22,Actins,929,132,7,p,22,,,,
643309.0,"actin, beta pseudogene 1",pseudogene,pseudogene,Xp11.3,,,134,11,,11,3,,,
62.0,"actin, beta pseudogene 2",pseudogene,pseudogene,5q14.1,,,135,5,q,14,1,,,
67.0,"actin, beta pseudogene 7",pseudogene,pseudogene,15q15.3,,,140,15,q,15,3,,,
69.0,"actin, beta pseudogene 9",pseudogene,pseudogene,18q21.33,,,142,18,q,21,33,,,
100462767.0,"actin, beta pseudogene 12",pseudogene,pseudogene,1p22.1,,,150,1,p,22,1,,,
70.0,"actin, alpha, cardiac muscle 1",protein-coding gene,gene with protein product,15q14,Actins,929,143,15,q,14,,,,
74.0,actin gamma 1 pseudogene 2,pseudogene,pseudogene,Yq11.222,,,147,11,,11,222,,,
75.0,actin gamma 1 pseudogene 3,pseudogene,pseudogene,20p13,,,148,20,p,13,,,,
82.0,actin gamma 1 pseudogene 9,pseudogene,pseudogene,6p12.3,,,154,6,p,12,3,,,
83.0,actin gamma 1 pseudogene 10,pseudogene,pseudogene,Xp11.22,,,155,11,,11,22,,,
100131291.0,actin gamma 1 pseudogene 21,pseudogene,pseudogene,1p31.1,,,51501,1,p,31,1,,,
10881.0,actin like 7A,protein-coding gene,gene with protein product,9q31,,,161,9,q,31,,,,
87.0,actinin alpha 1,protein-coding gene,gene with protein product,14q24.1,Actinins,1112,163,14,q,24,1,,,
81.0,actinin alpha 4,protein-coding gene,gene with protein product,19q13,Actinins,1112,166,19,q,13,,,,
106480335.0,actin family pseudogene 1,pseudogene,pseudogene,2q12.3,,,51621,2,q,12,3,,,
91.0,activin A receptor type 1B,protein-coding gene,gene with protein product,12q13,Type I receptor serine/threonine kinases,345,172,12,q,13,,,,
92.0,activin A receptor type 2A,protein-coding gene,gene with protein product,2q22.2-q23.3,Type II receptor serine/threonine kinases,346,173,2,q,22,2,q,23,3
93.0,activin A receptor type 2B,protein-coding gene,gene with protein product,3p22,Type II receptor serine/threonine kinases,346,174,3,p,22,,,,
95.0,aminoacylase 1,protein-coding gene,gene with protein product,3p21.2,,,177,3,p,21,2,,,
100.0,adenosine deaminase,protein-coding gene,gene with protein product,20q13.12,,,186,20,q,13,12,,,
1596.0,ADAM metallopeptidase domain 3B (pseudogene),pseudogene,pseudogene,16q12.1,ADAM metallopeptidase domain containing,47,210,16,q,12,1,,,
255926.0,ADAM metallopeptidase domain 5 (pseudogene),pseudogene,pseudogene,8p11.23,ADAM metallopeptidase domain containing,47,212,8,p,11,23,,,
8755.0,ADAM metallopeptidase domain 6 (pseudogene),pseudogene,pseudogene,14q32.33,ADAM metallopeptidase domain containing,47,213,14,q,32,33,,,
8756.0,ADAM metallopeptidase domain 7,protein-coding gene,gene with protein product,8p21.2,ADAM metallopeptidase domain containing,47,214,8,p,21,2,,,
8754.0,ADAM metallopeptidase domain 9,protein-coding gene,gene with protein product,8p11.23,ADAM metallopeptidase domain containing,47,216,8,p,11,23,,,
8749.0,ADAM metallopeptidase domain 18,protein-coding gene,gene with protein product,8p11.22,ADAM metallopeptidase domain containing,47,196,8,p,11,22,,,
8728.0,ADAM metallopeptidase domain 19,protein-coding gene,gene with protein product,5q33.3,ADAM metallopeptidase domain containing,47,197,5,q,33,3,,,
8748.0,ADAM metallopeptidase domain 20,protein-coding gene,gene with protein product,14q24.2,ADAM metallopeptidase domain containing,47,199,14,q,24,2,,,
646479.0,"ADAM metallopeptidase domain 24, pseudogene",pseudogene,pseudogene,8p22,ADAM metallopeptidase domain containing,47,203,8,p,22,,,,
11086.0,ADAM metallopeptidase domain 29,protein-coding gene,gene with protein product,4q34.1,ADAM metallopeptidase domain containing,47,207,4,q,34,1,,,
11085.0,ADAM metallopeptidase domain 30,protein-coding gene,gene with protein product,1p12,ADAM metallopeptidase domain containing,47,208,1,p,12,,,,
9510.0,ADAM metallopeptidase with thrombospondin type 1 motif 1,protein-coding gene,gene with protein product,21q21.3,ADAM metallopeptidases with thrombospondin type 1 motif,50,217,21,q,21,3,,,
9508.0,ADAM metallopeptidase with thrombospondin type 1 motif 3,protein-coding gene,gene with protein product,4q21,ADAM metallopeptidases with thrombospondin type 1 motif,50,219,4,q,21,,,,
9507.0,ADAM metallopeptidase with thrombospondin type 1 motif 4,protein-coding gene,gene with protein product,1q31-q32,ADAM metallopeptidases with thrombospondin type 1 motif,50,220,1,q,31,,q,,
11093.0,ADAM metallopeptidase with thrombospondin type 1 motif 13,protein-coding gene,gene with protein product,9q34,ADAM metallopeptidases with thrombospondin type 1 motif,50,1366,9,q,34,,,,
103.0,"adenosine deaminase, RNA-specific",protein-coding gene,gene with protein product,1q21.3,,,225,1,q,21,3,,,
104.0,"adenosine deaminase, RNA specific B1",protein-coding gene,gene with protein product,21q22.3,,,226,21,q,22,3,,,
113.0,adenylate cyclase 7,protein-coding gene,gene with protein product,16q12.1,Adenylate cyclases,53,238,16,q,12,1,,,
114.0,adenylate cyclase 8 (brain),protein-coding gene,gene with protein product,8q24,Adenylate cyclases,53,239,8,q,24,,,,
115.0,adenylate cyclase 9,protein-coding gene,gene with protein product,16p13.3,Adenylate cyclases,53,240,16,p,13,3,,,
116.0,adenylate cyclase activating polypeptide 1,protein-coding gene,gene with protein product,18p11,Endogenous ligands,542,241,18,p,11,,,,
120.0,adducin 3,protein-coding gene,gene with protein product,10q25.2,,,245,10,q,25,2,,,
575.0,adhesion G protein-coupled receptor B1,protein-coding gene,gene with protein product,8q24.3,"Adhesion G protein-coupled receptors, subfamily B",912,943,8,q,24,3,,,
576.0,adhesion G protein-coupled receptor B2,protein-coding gene,gene with protein product,1p35,"Adhesion G protein-coupled receptors, subfamily B",912,944,1,p,35,,,,
577.0,adhesion G protein-coupled receptor B3,protein-coding gene,gene with protein product,6q12,"Adhesion G protein-coupled receptors, subfamily B",912,945,6,q,12,,,,
2015.0,adhesion G protein-coupled receptor E1,protein-coding gene,gene with protein product,19p13.3,"Adhesion G protein-coupled receptors, subfamily E",915,3336,19,p,13,3,,,
9289.0,adhesion G protein-coupled receptor G1,protein-coding gene,gene with protein product,16q21,"Adhesion G protein-coupled receptors, subfamily G",917,4512,16,q,21,,,,
101927186.0,adhesion G protein-coupled receptor L3 antisense RNA 1,non-coding RNA,"RNA, long non-coding",4q13.1,,,50604,4,q,13,1,,,
124.0,"alcohol dehydrogenase 1A (class I), alpha polypeptide",protein-coding gene,gene with protein product,4q23,Alcohol dehydrogenases,397,249,4,q,23,,,,
126.0,"alcohol dehydrogenase 1C (class I), gamma polypeptide",protein-coding gene,gene with protein product,4q23,Alcohol dehydrogenases,397,251,4,q,23,,,,
343296.0,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2",pseudogene,pseudogene,1p31.1,,,22976,1,p,31,1,,,
133.0,adrenomedullin,protein-coding gene,gene with protein product,11p15.4,Endogenous ligands,542,259,11,p,15,4,,,
101927631.0,ADNP antisense RNA 1,non-coding RNA,"RNA, long non-coding",20q13.13,,,51227,20,q,13,13,,,
140.0,adenosine A3 receptor,protein-coding gene,gene with protein product,1p13.2,Adenosine receptors|V-set domain containing,211|590,268,1,p,13,2,,,
141.0,ADP-ribosylarginine hydrolase,protein-coding gene,gene with protein product,3q13.31-q13.33,,,269,3,q,13,31,q,13,33
152.0,adrenoceptor alpha 2C,protein-coding gene,gene with protein product,4p16.3,Adrenoceptors,169,283,4,p,16,3,,,
153.0,adrenoceptor beta 1,protein-coding gene,gene with protein product,10q25.3,Adrenoceptors,169,285,10,q,25,3,,,
154.0,adrenoceptor beta 2,protein-coding gene,gene with protein product,5q31-q32,Adrenoceptors,169,286,5,q,31,,q,,
155.0,adrenoceptor beta 3,protein-coding gene,gene with protein product,8p11.23,Adrenoceptors,169,288,8,p,11,23,,,
157.0,"adrenergic, beta, receptor kinase 2",protein-coding gene,gene with protein product,22q11,Pleckstrin homology domain containing,682,290,22,q,11,,,,
158.0,adenylosuccinate lyase,protein-coding gene,gene with protein product,22q13.1,,,291,22,q,13,1,,,
166.0,amino-terminal enhancer of split,protein-coding gene,gene with protein product,19p13.3,,,307,19,p,13,3,,,
2334.0,AF4/FMR2 family member 2,protein-coding gene,gene with protein product,Xq28,AF4/FMR2 family,1145,3776,28,,28,,,,
173.0,afamin,protein-coding gene,gene with protein product,4q13.3,,,316,4,q,13,3,,,
174.0,alpha fetoprotein,protein-coding gene,gene with protein product,4q13.3,,,317,4,q,13,3,,,
175.0,aspartylglucosaminidase,protein-coding gene,gene with protein product,4q34.3,,,318,4,q,34,3,,,
