,Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id,Start Chromossome,Start Chromossome Arm,Start Chromossome Loc,Start Chromossome SubLoc,End Chromossome Arm,End Chromossome Loc,End Chromossome SubLoc
0,1462,HGNC:2464,versican,protein-coding gene,gene with protein product,5q14.2-q14.3,Hyalectan proteoglycans|V-set domain containing|Sushi domain containing,574|590|1179,5,q,14,2,q,14,3
1,1612,HGNC:2674,death associated protein kinase 1,protein-coding gene,gene with protein product,9q34.1,Ankyrin repeat domain containing|Death-associated protein kinases,403|1021,9,q,34,1,,,
2,182,HGNC:6188,jagged 1,protein-coding gene,gene with protein product,20p12.1-p11.23,CD molecules,471,20,p,12,1,p,11,23
3,2011,HGNC:3332,microtubule affinity regulating kinase 2,protein-coding gene,gene with protein product,11q13.1,,,11,q,13,1,,,
4,2019,HGNC:3342,engrailed homeobox 1,protein-coding gene,gene with protein product,2q14.2,NKL subclass homeoboxes and pseudogenes,519,2,q,14,2,,,
5,2175,HGNC:3582,Fanconi anemia complementation group A,protein-coding gene,gene with protein product,16q24.3,Fanconi anemia complementation groups,548,16,q,24,3,,,
6,2195,HGNC:3595,FAT atypical cadherin 1,protein-coding gene,gene with protein product,4q35.2,Cadherin-related,24,4,q,35,2,,,
7,23209,HGNC:17082,megalencephalic leukoencephalopathy with subcortical cysts 1,protein-coding gene,gene with protein product,22q13.33,,,22,q,13,33,,,
8,23543,HGNC:9906,"RNA binding protein, fox-1 homolog 2",protein-coding gene,gene with protein product,22q12-q13,RNA binding motif containing,725,22,q,12,,q,,
9,23619,HGNC:12875,zinc finger imprinted 2,protein-coding gene,gene with protein product,19q13.4,Zinc fingers C2H2-type,28,19,q,13,4,,,
10,259266,HGNC:19048,abnormal spindle microtubule assembly,protein-coding gene,gene with protein product,1q31,,,1,q,31,,,,
11,2620,HGNC:4167,growth arrest specific 2,protein-coding gene,gene with protein product,11p14.3,,,11,p,14,3,,,
12,2621,HGNC:4168,growth arrest specific 6,protein-coding gene,gene with protein product,13q34,,,13,q,34,,,,
13,27344,HGNC:17301,proprotein convertase subtilisin/kexin type 1 inhibitor,protein-coding gene,gene with protein product,Xp11.23,Granins,925,11,,11,23,,,
14,2982,HGNC:4685,"guanylate cyclase 1, soluble, alpha 3",protein-coding gene,gene with protein product,4q32.1,"Guanylate cyclases, soluble",820,4,q,32,1,,,
15,3485,HGNC:5471,insulin like growth factor binding protein 2,protein-coding gene,gene with protein product,2q35,Insulin-like growth factor binding proteins,1065,2,q,35,,,,
16,358,HGNC:633,aquaporin 1 (Colton blood group),protein-coding gene,gene with protein product,7p14,Aquaporins|Blood group antigens,305|454,7,p,14,,,,
17,3691,HGNC:6158,integrin subunit beta 4,protein-coding gene,gene with protein product,17q25.1,"CD molecules|Fibronectin type III domain containing|Integrin subunits, beta ",471|555|1159,17,q,25,1,,,
18,3852,HGNC:6442,keratin 5,protein-coding gene,gene with protein product,12q13.13,"Keratins, type II",609,12,q,13,13,,,
19,3866,HGNC:6421,keratin 15,protein-coding gene,gene with protein product,17q21.2,"Keratins, type I",608,17,q,21,2,,,
20,4082,HGNC:6759,myristoylated alanine rich protein kinase C substrate,protein-coding gene,gene with protein product,6q21,,,6,q,21,,,,
21,50805,HGNC:6129,iroquois homeobox 4,protein-coding gene,gene with protein product,5p15.33,TALE class homeoboxes and pseudogenes,526,5,p,15,33,,,
22,51477,HGNC:29821,inositol-3-phosphate synthase 1,protein-coding gene,gene with protein product,19p13.11,,,19,p,13,11,,,
23,51514,HGNC:30288,denticleless E3 ubiquitin protein ligase homolog,protein-coding gene,gene with protein product,1q32,WD repeat domain containing|DDB1 and CUL4 associated factors,362|498,1,q,32,,,,
24,51659,HGNC:24575,GINS complex subunit 2,protein-coding gene,gene with protein product,16q24.1,GINS complex,931,16,q,24,1,,,
25,5174,HGNC:8821,PDZ domain containing 1,protein-coding gene,gene with protein product,1q21,PDZ domain containing,1220,1,q,21,,,,
26,5176,HGNC:8824,serpin family F member 1,protein-coding gene,gene with protein product,17p13.3,Serpin peptidase inhibitors,739,17,p,13,3,,,
27,53335,HGNC:13221,B-cell CLL/lymphoma 11A,protein-coding gene,gene with protein product,2p16.1,Zinc fingers C2H2-type,28,2,p,16,1,,,
28,54441,HGNC:33852,stromal antigen 3-like 1 (pseudogene),pseudogene,pseudogene,7q11.23,,,7,q,11,23,,,
29,54531,HGNC:29210,MIER family member 2,protein-coding gene,gene with protein product,19p13.3,Myb/SANT domain containing,532,19,p,13,3,,,
30,5587,HGNC:9407,protein kinase D1,protein-coding gene,gene with protein product,14q11,Pleckstrin homology domain containing,682,14,q,11,,,,
31,57419,HGNC:10977,solute carrier family 24 member 3,protein-coding gene,gene with protein product,20p13,Solute carriers,752,20,p,13,,,,
32,5834,HGNC:9723,"phosphorylase, glycogen; brain",protein-coding gene,gene with protein product,20p11.21,"Phosphorylases, glycogen",437,20,p,11,21,,,
33,595,HGNC:1582,cyclin D1,protein-coding gene,gene with protein product,11q13,Cyclins,473,11,q,13,,,,
34,6484,HGNC:10864,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",protein-coding gene,gene with protein product,11q23-q24,Sialyltransferases,438,11,q,23,,q,,
35,6651,HGNC:11183,SON DNA binding protein,protein-coding gene,gene with protein product,21q22.1-q22.2,G-patch domain containing|Minor histocompatibility antigens,579|870,21,q,22,1,q,22,2
36,6659,HGNC:11200,SRY-box 4,protein-coding gene,gene with protein product,6p22.3,SRY (sex determining region Y)-boxes,757,6,p,22,3,,,
37,6664,HGNC:11191,SRY-box 11,protein-coding gene,gene with protein product,2p25,SRY (sex determining region Y)-boxes,757,2,p,25,,,,
38,7153,HGNC:11989,topoisomerase (DNA) II alpha,protein-coding gene,gene with protein product,17q21.2,Topoisomerases,1050,17,q,21,2,,,
39,80303,HGNC:29556,EF-hand domain family member D1,protein-coding gene,gene with protein product,2q37.1,EF-hand domain containing,863,2,q,37,1,,,
40,81029,HGNC:16265,Wnt family member 5B,protein-coding gene,gene with protein product,12p13.3,Wnt family,360,12,p,13,3,,,
41,81831,HGNC:14644,neuropilin and tolloid like 2,protein-coding gene,gene with protein product,16q11.2,,,16,q,11,2,,,
42,9454,HGNC:17514,homer scaffolding protein 3,protein-coding gene,gene with protein product,19p13.1,Homer scaffolding proteins,871,19,p,13,1,,,
43,9700,HGNC:16856,"extra spindle pole bodies like 1, separase",protein-coding gene,gene with protein product,12q13.13,,,12,q,13,13,,,
44,999,HGNC:1748,cadherin 1,protein-coding gene,gene with protein product,16q22.1,CD molecules|Type I classical cadherins,471|1185,16,q,22,1,,,
45,135,HGNC:263,adenosine A2a receptor,protein-coding gene,gene with protein product,22q11.23,Adenosine receptors,211,22,q,11,23,,,
46,1636,HGNC:2707,angiotensin I converting enzyme,protein-coding gene,gene with protein product,17q23.3,CD molecules,471,17,q,23,3,,,
47,207,HGNC:391,v-akt murine thymoma viral oncogene homolog 1,protein-coding gene,gene with protein product,14q32.33,Pleckstrin homology domain containing,682,14,q,32,33,,,
48,2099,HGNC:3467,estrogen receptor 1,protein-coding gene,gene with protein product,6q24-q27,Nuclear hormone receptors,71,6,q,24,,q,,
49,2912,HGNC:4594,glutamate metabotropic receptor 2,protein-coding gene,gene with protein product,3p21.2,Glutamate metabotropic receptors,281,3,p,21,2,,,
50,2950,HGNC:4638,glutathione S-transferase pi 1,protein-coding gene,gene with protein product,11q13.2,Glutathione S-transferases,567,11,q,13,2,,,
51,3350,HGNC:5286,5-hydroxytryptamine receptor 1A,protein-coding gene,gene with protein product,5q12.3,"5-hydroxytryptamine receptors, G protein-coupled",170,5,q,12,3,,,
52,3362,HGNC:5301,5-hydroxytryptamine receptor 6,protein-coding gene,gene with protein product,1p36-p35,"5-hydroxytryptamine receptors, G protein-coupled",170,1,p,36,,p,,
53,4886,HGNC:7956,neuropeptide Y receptor Y1,protein-coding gene,gene with protein product,4q32.2,Neuropeptide receptors,854,4,q,32,2,,,
54,4988,HGNC:8156,opioid receptor mu 1,protein-coding gene,gene with protein product,6q24-q25,Opioid receptors,245,6,q,24,,q,,
55,5245,HGNC:8912,prohibitin,protein-coding gene,gene with protein product,17q21,,,17,q,21,,,,
56,6531,HGNC:11049,solute carrier family 6 member 3,protein-coding gene,gene with protein product,5p15.3,Solute carriers,752,5,p,15,3,,,
57,6622,HGNC:11138,synuclein alpha,protein-coding gene,gene with protein product,4q21.3-q22,Parkinson disease associated genes,672,4,q,21,3,q,,
